Date,Year,Month,Day,Weekday,Quarter
2010-12-01,2010,12,1,Wednesday,4
2010-12-02,2010,12,2,Thursday,4
2010-12-03,2010,12,3,Friday,4
2010-12-05,2010,12,5,Sunday,4
2010-12-06,2010,12,6,Monday,4
2010-12-07,2010,12,7,Tuesday,4
2010-12-08,2010,12,8,Wednesday,4
2010-12-09,2010,12,9,Thursday,4
2010-12-10,2010,12,10,Friday,4
2010-12-12,2010,12,12,Sunday,4
2010-12-13,2010,12,13,Monday,4
2010-12-14,2010,12,14,Tuesday,4
2010-12-15,2010,12,15,Wednesday,4
2010-12-16,2010,12,16,Thursday,4
2010-12-17,2010,12,17,Friday,4
2010-12-19,2010,12,19,Sunday,4
2010-12-20,2010,12,20,Monday,4
2010-12-21,2010,12,21,Tuesday,4
2010-12-22,2010,12,22,Wednesday,4
2010-12-23,2010,12,23,Thursday,4
2011-01-04,2011,1,4,Tuesday,1
2011-01-05,2011,1,5,Wednesday,1
2011-01-06,2011,1,6,Thursday,1
2011-01-07,2011,1,7,Friday,1
2011-01-09,2011,1,9,Sunday,1
2011-01-10,2011,1,10,Monday,1
2011-01-11,2011,1,11,Tuesday,1
2011-01-12,2011,1,12,Wednesday,1
2011-01-13,2011,1,13,Thursday,1
2011-01-14,2011,1,14,Friday,1
2011-01-16,2011,1,16,Sunday,1
2011-01-17,2011,1,17,Monday,1
2011-01-18,2011,1,18,Tuesday,1
2011-01-19,2011,1,19,Wednesday,1
2011-01-20,2011,1,20,Thursday,1
2011-01-21,2011,1,21,Friday,1
2011-01-23,2011,1,23,Sunday,1
2011-01-24,2011,1,24,Monday,1
2011-01-25,2011,1,25,Tuesday,1
2011-01-26,2011,1,26,Wednesday,1
2011-01-27,2011,1,27,Thursday,1
2011-01-28,2011,1,28,Friday,1
2011-01-30,2011,1,30,Sunday,1
2011-01-31,2011,1,31,Monday,1
2011-02-01,2011,2,1,Tuesday,1
2011-02-02,2011,2,2,Wednesday,1
2011-02-03,2011,2,3,Thursday,1
2011-02-04,2011,2,4,Friday,1
2011-02-06,2011,2,6,Sunday,1
2011-02-07,2011,2,7,Monday,1
2011-02-08,2011,2,8,Tuesday,1
2011-02-09,2011,2,9,Wednesday,1
2011-02-10,2011,2,10,Thursday,1
2011-02-11,2011,2,11,Friday,1
2011-02-13,2011,2,13,Sunday,1
2011-02-14,2011,2,14,Monday,1
2011-02-15,2011,2,15,Tuesday,1
2011-02-16,2011,2,16,Wednesday,1
2011-02-17,2011,2,17,Thursday,1
2011-02-18,2011,2,18,Friday,1
2011-02-20,2011,2,20,Sunday,1
2011-02-21,2011,2,21,Monday,1
2011-02-22,2011,2,22,Tuesday,1
2011-02-23,2011,2,23,Wednesday,1
2011-02-24,2011,2,24,Thursday,1
2011-02-25,2011,2,25,Friday,1
2011-02-27,2011,2,27,Sunday,1
2011-02-28,2011,2,28,Monday,1
2011-03-01,2011,3,1,Tuesday,1
2011-03-02,2011,3,2,Wednesday,1
2011-03-03,2011,3,3,Thursday,1
2011-03-04,2011,3,4,Friday,1
2011-03-06,2011,3,6,Sunday,1
2011-03-07,2011,3,7,Monday,1
2011-03-08,2011,3,8,Tuesday,1
2011-03-09,2011,3,9,Wednesday,1
2011-03-10,2011,3,10,Thursday,1
2011-03-11,2011,3,11,Friday,1
2011-03-13,2011,3,13,Sunday,1
2011-03-14,2011,3,14,Monday,1
2011-03-15,2011,3,15,Tuesday,1
2011-03-16,2011,3,16,Wednesday,1
2011-03-17,2011,3,17,Thursday,1
2011-03-18,2011,3,18,Friday,1
2011-03-20,2011,3,20,Sunday,1
2011-03-21,2011,3,21,Monday,1
2011-03-22,2011,3,22,Tuesday,1
2011-03-23,2011,3,23,Wednesday,1
2011-03-24,2011,3,24,Thursday,1
2011-03-25,2011,3,25,Friday,1
2011-03-27,2011,3,27,Sunday,1
2011-03-28,2011,3,28,Monday,1
2011-03-29,2011,3,29,Tuesday,1
2011-03-30,2011,3,30,Wednesday,1
2011-03-31,2011,3,31,Thursday,1
2011-04-01,2011,4,1,Friday,2
2011-04-03,2011,4,3,Sunday,2
2011-04-04,2011,4,4,Monday,2
2011-04-05,2011,4,5,Tuesday,2
2011-04-06,2011,4,6,Wednesday,2
2011-04-07,2011,4,7,Thursday,2
2011-04-08,2011,4,8,Friday,2
2011-04-10,2011,4,10,Sunday,2
2011-04-11,2011,4,11,Monday,2
2011-04-12,2011,4,12,Tuesday,2
2011-04-13,2011,4,13,Wednesday,2
2011-04-14,2011,4,14,Thursday,2
2011-04-15,2011,4,15,Friday,2
2011-04-17,2011,4,17,Sunday,2
2011-04-18,2011,4,18,Monday,2
2011-04-19,2011,4,19,Tuesday,2
2011-04-20,2011,4,20,Wednesday,2
2011-04-21,2011,4,21,Thursday,2
2011-04-26,2011,4,26,Tuesday,2
2011-04-27,2011,4,27,Wednesday,2
2011-04-28,2011,4,28,Thursday,2
2011-05-01,2011,5,1,Sunday,2
2011-05-03,2011,5,3,Tuesday,2
2011-05-04,2011,5,4,Wednesday,2
2011-05-05,2011,5,5,Thursday,2
2011-05-06,2011,5,6,Friday,2
2011-05-08,2011,5,8,Sunday,2
2011-05-09,2011,5,9,Monday,2
2011-05-10,2011,5,10,Tuesday,2
2011-05-11,2011,5,11,Wednesday,2
2011-05-12,2011,5,12,Thursday,2
2011-05-13,2011,5,13,Friday,2
2011-05-15,2011,5,15,Sunday,2
2011-05-16,2011,5,16,Monday,2
2011-05-17,2011,5,17,Tuesday,2
2011-05-18,2011,5,18,Wednesday,2
2011-05-19,2011,5,19,Thursday,2
2011-05-20,2011,5,20,Friday,2
2011-05-22,2011,5,22,Sunday,2
2011-05-23,2011,5,23,Monday,2
2011-05-24,2011,5,24,Tuesday,2
2011-05-25,2011,5,25,Wednesday,2
2011-05-26,2011,5,26,Thursday,2
2011-05-27,2011,5,27,Friday,2
2011-05-29,2011,5,29,Sunday,2
2011-05-31,2011,5,31,Tuesday,2
2011-06-01,2011,6,1,Wednesday,2
2011-06-02,2011,6,2,Thursday,2
2011-06-03,2011,6,3,Friday,2
2011-06-05,2011,6,5,Sunday,2
2011-06-06,2011,6,6,Monday,2
2011-06-07,2011,6,7,Tuesday,2
2011-06-08,2011,6,8,Wednesday,2
2011-06-09,2011,6,9,Thursday,2
2011-06-10,2011,6,10,Friday,2
2011-06-12,2011,6,12,Sunday,2
2011-06-13,2011,6,13,Monday,2
2011-06-14,2011,6,14,Tuesday,2
2011-06-15,2011,6,15,Wednesday,2
2011-06-16,2011,6,16,Thursday,2
2011-06-17,2011,6,17,Friday,2
2011-06-19,2011,6,19,Sunday,2
2011-06-20,2011,6,20,Monday,2
2011-06-21,2011,6,21,Tuesday,2
2011-06-22,2011,6,22,Wednesday,2
2011-06-23,2011,6,23,Thursday,2
2011-06-24,2011,6,24,Friday,2
2011-06-26,2011,6,26,Sunday,2
2011-06-27,2011,6,27,Monday,2
2011-06-28,2011,6,28,Tuesday,2
2011-06-29,2011,6,29,Wednesday,2
2011-06-30,2011,6,30,Thursday,2
2011-07-01,2011,7,1,Friday,3
2011-07-03,2011,7,3,Sunday,3
2011-07-04,2011,7,4,Monday,3
2011-07-05,2011,7,5,Tuesday,3
2011-07-06,2011,7,6,Wednesday,3
2011-07-07,2011,7,7,Thursday,3
2011-07-08,2011,7,8,Friday,3
2011-07-10,2011,7,10,Sunday,3
2011-07-11,2011,7,11,Monday,3
2011-07-12,2011,7,12,Tuesday,3
2011-07-13,2011,7,13,Wednesday,3
2011-07-14,2011,7,14,Thursday,3
2011-07-15,2011,7,15,Friday,3
2011-07-17,2011,7,17,Sunday,3
2011-07-18,2011,7,18,Monday,3
2011-07-19,2011,7,19,Tuesday,3
2011-07-20,2011,7,20,Wednesday,3
2011-07-21,2011,7,21,Thursday,3
2011-07-22,2011,7,22,Friday,3
2011-07-24,2011,7,24,Sunday,3
2011-07-25,2011,7,25,Monday,3
2011-07-26,2011,7,26,Tuesday,3
2011-07-27,2011,7,27,Wednesday,3
